ModuloParteAnotacao,PosiçãoInicial,Tamanho,Codigo,Numero,Descricao,Tipo,Categoria
,,,,,,,
Parte 1 - Identificação e Controle,,,,,,,
,1.0,2.0,V0001,,Unidade da Federação,11,Rondônia
,,,,,Unidade da Federação,12,Acre
,,,,,Unidade da Federação,13,Amazonas
,,,,,Unidade da Federação,14,Roraima
,,,,,Unidade da Federação,15,Pará
,,,,,Unidade da Federação,16,Amapá
,,,,,Unidade da Federação,17,Tocantins
,,,,,Unidade da Federação,21,Maranhão
,,,,,Unidade da Federação,22,Piauí
,,,,,Unidade da Federação,23,Ceará
,,,,,Unidade da Federação,24,Rio Grande do Norte
,,,,,Unidade da Federação,25,Paraíba
,,,,,Unidade da Federação,26,Pernambuco
,,,,,Unidade da Federação,27,Alagoas
,,,,,Unidade da Federação,28,Sergipe
,,,,,Unidade da Federação,29,Bahia
,,,,,Unidade da Federação,31,Minas Gerais
,,,,,Unidade da Federação,32,Espírito Santo
,,,,,Unidade da Federação,33,Rio de Janeiro
,,,,,Unidade da Federação,35,São Paulo
,,,,,Unidade da Federação,41,Paraná
,,,,,Unidade da Federação,42,Santa Catarina
,,,,,Unidade da Federação,43,Rio Grande do Sul
,,,,,Unidade da Federação,50,Mato Grosso do Sul
,,,,,Unidade da Federação,51,Mato Grosso
,,,,,Unidade da Federação,52,Goiás
,,,,,Unidade da Federação,53,Distrito Federal
,3.0,7.0,V0024,,Estrato,,
,10.0,9.0,UPA_PNS,,UPA,,
,19.0,4.0,V0006_PNS,,Número de ordem do domicílio na PNS,,
,23.0,2.0,V0015,,Tipo da entrevista,1,Realizada
,,,,,Tipo da entrevista,2,Domicilio Fechado
,,,,,Tipo da entrevista,3,Recusa
,,,,,Tipo da entrevista,4,Outro Motivo
,,,,,Tipo da entrevista,5,Domicílio vago
,,,,,Tipo da entrevista,6,Domicílio de uso ocasional
,,,,,Tipo da entrevista,7,Domicílio coletivo ou improvisado
,,,,,Tipo da entrevista,8,Domicílio em obras ou em ruínas
,,,,,Tipo da entrevista,9,Domicilio demolido
,,,,,Tipo da entrevista,10,Domicílio não encontrado
,,,,,Tipo da entrevista,11,Unidade não residencial
,,,,,Tipo da entrevista,12,Domicílio fora do setor
,25.0,4.0,V0020,,Ano de referência,,
,29.0,2.0,V0022,,Total de moradores,01 a 30,Pessoas
,,,,,Total de moradores,,Não aplicável
,31.0,1.0,V0026,,Tipo de situação censitária,1,Urbano
