,Dicionário das variáveis da PNS 2019,,,,,,,,,,
,,,,Quesito,Quesito,,Categorias,Categorias,,,
ModuloParteAnotacao,Posicao,Tamanho,Codigo,Numero,Descricao,Dtype,Tipo,Classe,Include,Felipe,Diego
Parte 1 - Identificação e Controle,,,,,,,,,,,
,1,2,V0001,,Unidade da Federação,category,11,Rondônia,TRUE,TRUE,TRUE
,,,,,,,12,Acre,TRUE,TRUE,TRUE
,,,,,,,13,Amazonas,TRUE,TRUE,TRUE
,,,,,,,14,Roraima,TRUE,TRUE,TRUE
,,,,,,,15,Pará,TRUE,TRUE,TRUE
,,,,,,,16,Amapá,TRUE,TRUE,TRUE
,,,,,,,17,Tocantins,TRUE,TRUE,TRUE
,,,,,,,21,Maranhão,TRUE,TRUE,TRUE
,,,,,,,22,Piauí,TRUE,TRUE,TRUE
,,,,,,,23,Ceará,TRUE,TRUE,TRUE
,,,,,,,24,Rio Grande do Norte,TRUE,TRUE,TRUE
,,,,,,,25,Paraíba,TRUE,TRUE,TRUE
,,,,,,,26,Pernambuco,TRUE,TRUE,TRUE
,,,,,,,27,Alagoas,TRUE,TRUE,TRUE
,,,,,,,28,Sergipe,TRUE,TRUE,TRUE
,,,,,,,29,Bahia,TRUE,TRUE,TRUE
,,,,,,,31,Minas Gerais,TRUE,TRUE,TRUE
,,,,,,,32,Espírito Santo,TRUE,TRUE,TRUE
,,,,,,,33,Rio de Janeiro,TRUE,TRUE,TRUE
,,,,,,,35,São Paulo,TRUE,TRUE,TRUE
,,,,,,,41,Paraná,TRUE,TRUE,TRUE
,,,,,,,42,Santa Catarina,TRUE,TRUE,TRUE
,,,,,,,43,Rio Grande do Sul,TRUE,TRUE,TRUE
,,,,,,,50,Mato Grosso do Sul,TRUE,TRUE,TRUE
,,,,,,,51,Mato Grosso,TRUE,TRUE,TRUE
,,,,,,,52,Goiás,TRUE,TRUE,TRUE
,,,,,,,53,Distrito Federal,TRUE,TRUE,TRUE
,3,7,V0024,,Estrato,,,,,,
,10,9,UPA_PNS,,UPA,,,,,,
,19,4,V0006_PNS,,Número de ordem do domicílio na PNS,,,,,,
,23,2,V0015,,Tipo da entrevista,,01,Realizada,,,
,,,,,,,02,Domicilio Fechado,,,
,,,,,,,03,Recusa,,,
,,,,,,,04,Outro Motivo,,,
,,,,,,,05,Domicílio vago,,,
,,,,,,,06,Domicílio de uso ocasional,,,
,,,,,,,07,Domicílio coletivo ou improvisado,,,
,,,,,,,08,Domicílio em obras ou em ruínas,,,
,,,,,,,09,Domicilio demolido,,,
,,,,,,,10,Domicílio não encontrado,,,
,,,,,,,11,Unidade não residencial,,,
,,,,,,,12,Domicílio fora do setor,,,
,25,4,V0020,,Ano de referência,,,,,,
,29,2,V0022,,Total de moradores,,01 a 30,Pessoas,,,
,,,,,,,,Não aplicável,,,
,31,1,V0026,,Tipo de situação censitária,category,1,Urbano,TRUE,TRUE,TRUE
,,,,,,,2,Rural,TRUE,TRUE,TRUE
,32,1,V0031,,Tipo de área,category,1,Capital,TRUE,TRUE,TRUE
,,,,,,,2,"Resto da RM (Região Metropolitana, excluindo a capital)",TRUE,TRUE,TRUE
,,,,,,,3,RIDE (excluindo a capital),TRUE,TRUE,TRUE
,,,,,,,4,"Resto da UF (Unidade da Federação, excluindo a região metropolitana e RIDE)",TRUE,TRUE,TRUE
,33,1,V0025A,,Seleção do morador de 15 anos ou mais para responder o questionário individual,,0,Não selecionado,,,
,,,,,,,1,Selecionado,,,
,,,,,,,9,Não aplicável,,,
,34,1,V0025B,,Seleção do morador de 15 anos ou mais para ter medida antropométrica aferida,,0,Não selecionado,,,
,,,,,,,1,Selecionado,,,
,,,,,,,9,Não aplicável,,,
Parte 2 - Domicílio,,,,,,,,,,,
Módulo A - Informações do Domicílio,,,,,,,,,,,
,35,1,A001,A1,Tipo do domicílio,,1,Casa,,,
,,,,,,,2,Apartamento,,,
,,,,,,,3,"Habitação em casa de cômodos, cortiço ou cabeça de porco",,,
,,,,,,,9 ,Ignorado,,,
,,,,,,,,Não aplicável,,,
,36,1,A002010,A2a,Qual é o material que predomina na construção das paredes externas deste domicílio?,,1,Alvenaria com revestimento ou taipa revestida,,,
,,,,,,,2,Alvenaria sem revestimento,,,
,,,,,,,3,Taipa sem revestimento,,,
,,,,,,,4,Madeira apropriada para construção (aparelhada),,,
,,,,,,,5,Madeira aproveitada,,,
,,,,,,,6,Outro material,,,
,,,,,,,9 ,Ignorado,,,
,,,,,,,,Não aplicável,,,
,37,1,A003010,A3a,Material predominante na cobertura (telhado) do domicílio,,1,Telha sem laje de concreto,,,
,,,,,,,2,Telha com laje de concreto,,,
,,,,,,,3,Somente laje de concreto,,,
,,,,,,,4,Madeira apropriada para construção (aparelhada),,,
,,,,,,,5,"Zinco, alumínio ou chapa metálica",,,
,,,,,,,6,Outro material,,,
,,,,,,,9 ,Ignorado,,,
,,,,,,,,Não aplicável,,,
,38,1,A004010,A4a,Qual é o material que predomina no piso deste domicílio,,1,"Cerâmica, lajota ou pedra (inclusive outros pisos frios como porcelanato e granito)",,,
,,,,,,,2,"Madeira apropriada para construção (aparelhada) (tábua corrida, taco, parquet e laminado)",,,
,,,,,,,3,Cimento,,,
,,,,,,,4,Terra,,,
,,,,,,,5,Outro material ,,,
,,,,,,,9 ,Ignorado,,,
,,,,,,,,Não aplicável,,,
,39,2,A01001,A10a, Quantos cômodos têm este domicílio,,01 a 30,Cômodo(s) no domicílio,,,
,,,,,,,99,Ignorado,,,
